role1	role2	genomes
LSU rRNA	tRNA-Ile-GAT	583355.3,716544.4,349741.6,572547.3,673862.3,157176.8,309798.4,525904.6,190304.8,59196.3,1749045.3,795359.3,1206109.5,1306947.3,481448.7,727.1550,926569.3,1401685.3,445932.6,1332188.3,2162266.3,479434.6,394503.7,1437881.3,456827.3,926550.5,37692.4,376620.10,679936.5
Ribonuclease Y	tRNA dimethylallyltransferase (EC 2.5.1.75)	521095.6,190304.8,2003555.3,1002870.3,37692.4,295320.3,673862.3,754252.34,309798.4,266117.10
Dihydroxyacetone kinase-like protein, kinase domain	FIG001802: Putative alkaline-shock protein	1639.4260,608534.3,1491.958,1423720.4,926569.3,1737569.3,1260.19,1946294.3,1123388.3,309798.4,655811.4,938289.3,521095.6,126741.4,796939.3,1121911.3,1947072.3
Fumarate reductase flavoprotein subunit (EC 1.3.5.4)	Fumarate reductase iron-sulfur protein (EC 1.3.5.4)	1121447.3,415426.13,444157.8,727.1550,2200854.3,137778.5,436308.17,374847.13,210.5028,1715285.3
Aspartate carbamoyltransferase regulatory chain (PyrI)	Orotate phosphoribosyltransferase (EC 2.4.2.10)	415426.13,444157.8,608534.3,938289.3,1491.958,796939.3,716544.4,397948.10,1260.19,374847.13,1947072.3,655811.4
Aspartyl-tRNA synthetase (EC 6.1.1.12)	Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase (EC 3.1.7.2)	1408417.3,1639.4260,938289.3,1491.958,1423720.4,1884905.18,1121911.3,655811.4,679936.5,394503.7
Cell division protein FtsQ	D-alanine--D-alanine ligase (EC 6.3.2.4)	583355.3,727.1550,926569.3,349741.6,2162266.3,479434.6,1408281.4,518.42,525904.6,2601646.3,454171.5,1437881.3,163164.29,1647103.3,190304.8,2024841.10,481448.7,376620.10
Eukaryotic translation initiation factor 2 alpha subunit	LSU ribosomal protein L44e	415426.13,406327.12,444157.8,64091.14,1915863.3,349307.15,397948.10,374847.13,1577791.3,1435377.6,263820.9,339860.19
tRNA-Leu	tRNA-Val	1639.4260,1882918.15,1262806.3,1423720.4,28227.8,980251.5,1260.19,2597224.3,2601646.3,1609969.5,1805053.3,2601575.3,1121911.3,2100.35,295596.4
Histidinol-phosphate aminotransferase (EC 2.6.1.9)	Phosphoribosyl-ATP pyrophosphatase (EC 3.6.1.31)	557993.3,1491.958,727.1550,926569.3,1002870.3,518.42,525904.6,394503.7,1437881.3,126741.4,379066.3,203907.6,1946798.3,1435377.6,1121911.3,1241833.3,1961371.3
LSU ribosomal protein L25p	Transcription-repair coupling factor	1639.4260,247481.57,2183990.3,1884905.18,2003555.3,2069310.3,525909.11,572547.3,1946522.3,754252.34,309798.4
ATPase component of general energizing module of ECF transporters	tRNA pseudouridine(38-40) synthase (EC 5.4.99.12)	1639.4260,608534.3,1491.958,1423720.4,28227.8,572547.3,1260.19,1408467.3,309798.4,655811.4,394503.7,1408417.3,938289.3,1805053.3,796939.3,1946798.3,37692.4,1318617.4,295320.3,1121911.3,243273.25,266117.10
ABC transporter, ATP-binding protein	ABC transporter, permease protein	1639.4260,2183990.3,1491.958,727.1550,1521403.3,2023178.18,572547.3,1260.19,2067454.3,394503.7,1408417.3,1437881.3,1947784.3,2099.43,190304.8,166793.3,379066.3,456827.3,1749045.3,1946251.3,525909.11,1548207.7,2702.133,679936.5
LSU ribosomal protein L11p (L12e)	Protein translocase subunit SecE	1121447.3,2490941.3,557993.3,2183990.3,1737569.3,980251.5,1521403.3,572547.3,210.5028,157176.8,309798.4,525904.6,159.151,36868.4,1294039.3,521095.6,59196.3,795359.3,1206109.5,525909.11,137778.5,754252.34,266117.10,1639.4260,608534.3,926569.3,41978.26,445932.6,1260.19,479434.6,479430.3,1123388.3,518.42,394503.7,454171.5,163164.29,1391995.3,1884905.18,583355.3,1491.958,716544.4,2023178.18,349741.6,655811.4,1647103.3,1947784.3,190304.8,379066.3,203907.6,481448.7,813.178,2162266.3,1919250.3,1945871.3,1437881.3,126741.4,456827.3,1548207.7,679936.5
DNA polymerase III beta subunit (EC 2.7.7.7)	Uncharacterized S4 RNA-binding-domain protein YbcJ	1639.4260,938289.3,1491.958,1423720.4,28227.8,41978.26,1260.19,309798.4,655811.4,266117.10,394503.7
Flagellar basal-body rod protein FlgC	Flagellum-specific ATP synthase FliI	1121447.3,1639.4260,2605989.3,2183990.3,1491.958,980251.5,1002870.3,479434.6,309798.4,394503.7,454171.5,166793.3,379066.3,796939.3,795359.3,1560006.3,1946798.3,525909.11,166.4,1121911.3,679936.5
Cell division protein FtsA	D-alanine--D-alanine ligase (EC 6.3.2.4)	2490941.3,557993.3,583355.3,1408281.4,157176.8,525904.6,1704307.4,1647103.3,489703.3,1805053.3,190304.8,1946934.3,2024841.10,428411.4,481448.7,727.1550,926569.3,479434.6,518.42,454171.5,1437881.3,1548207.7,926550.5,376620.10,1715285.3
Amidophosphoribosyltransferase (EC 2.4.2.14)	IMP cyclohydrolase (EC 3.5.4.10)	1639.4260,1491.958,1423720.4,445932.6,572547.3,1002870.3,1260.19,309798.4,394503.7,126741.4,190304.8,166793.3,796939.3,1946798.3,1121911.3,1947072.3,679936.5,266117.10
DNA-directed RNA polymerase subunit E''	DNA-directed RNA polymerase subunit E' (EC 2.7.7.6)	415426.13,406327.12,444157.8,64091.14,349307.15,436308.17,272844.11,374847.13,1577791.3,1435377.6,263820.9,339860.19
Protein translocase subunit SecY	SSU ribosomal protein S8p (S15Ae)	1121447.3,2490941.3,247481.57,1882918.15,980251.5,572547.3,1970770.3,2030824.4,525904.6,159.151,1432327.4,1704307.4,1609969.5,525909.11,1306947.3,137778.5,1241833.3,1639.4260,2605989.3,1262806.3,28227.8,926569.3,1002870.3,1260.19,394503.7,454171.5,163164.29,1884905.18,2003555.3,1946798.3,37692.4,1491.958,716544.4,2023178.18,673862.3,1408281.4,655811.4,2067454.3,1647103.3,1947784.3,190304.8,796939.3,203907.6,727.1550,1401685.3,1408467.3,2162266.3,1946269.3,1971488.3,938289.3,1719125.3,59620.1701,1548207.7,1946522.3,926550.5,243273.25,2100.35,557993.3,2183990.3,1737569.3,1521403.3,210.5028,157176.8,309798.4,36868.4,1294039.3,1408417.3,2099.43,521095.6,1805053.3,59196.3,795359.3,1206109.5,1121911.3,266117.10,608534.3,2069310.3,41978.26,445932.6,479434.6,479430.3,1123388.3,518.42,1560006.3,1972134.3,376620.10,295320.3,583355.3,349741.6,1946283.3,489703.3,379066.3,1749045.3,1946251.3,428411.4,481448.7,2702.133,1318617.4,1947072.3,813.178,1423720.4,1332188.3,1079.16,1919250.3,1946294.3,1945871.3,1437881.3,126741.4,166793.3,456827.3,166.4,1715285.3,679936.5
SSU ribosomal protein S13p (S18e)	SSU ribosomal protein S4p (S9e), zinc-independent	557993.3,247481.57,583355.3,1737569.3,2023178.18,2200854.3,349741.6,1946283.3,1970770.3,210.5028,655811.4,2067454.3,36868.4,1432327.4,1704307.4,489703.3,521095.6,190304.8,59196.3,1749045.3,203907.6,1946251.3,1206109.5,428411.4,137778.5,481448.7,754252.34,1241833.3,266117.10,608534.3,727.1550,41978.26,445932.6,1332188.3,1260.19,1919250.3,518.42,1946269.3,1971488.3,454171.5,1437881.3,938289.3,1719125.3,1391995.3,456827.3,1548207.7,1972134.3,1715285.3
ATP synthase F0 sector subunit a (EC 3.6.3.14)	Peptide chain release factor 1	1294039.3,2183990.3,521095.6,1391995.3,1423720.4,1884905.18,2069310.3,525909.11,754252.34,295596.4,266117.10
LSU ribosomal protein L21p	Nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18)	608534.3,2183990.3,1491.958,2023178.18,572547.3,1260.19,2597224.3,1123388.3,157176.8,309798.4,655811.4,1294039.3,1805053.3,166.4,1121911.3,679936.5,266117.10
Dihydropteroate synthase (EC 2.5.1.15)	Phosphoglucosamine mutase (EC 5.4.2.10)	1121447.3,727.1550,2597224.3,1408281.4,157176.8,518.42,36868.4,1704307.4,489703.3,1719125.3,203907.6,795359.3,428411.4,481448.7,1715285.3
Cell division initiation protein DivIVA	Pyridoxal phosphate-containing protein YggS	2183990.3,1491.958,1737569.3,41978.26,572547.3,479430.3,1123388.3,394503.7,521095.6,379066.3,1749045.3,525909.11,1121911.3,679936.5,266117.10
ABC transporter, ATP-binding protein (cluster 3, basic aa/glutamine/opines)	ABC transporter, permease protein (cluster 3, basic aa/glutamine/opines)	1121447.3,2183990.3,1737569.3,1521403.3,572547.3,210.5028,159.151,521095.6,137778.5,754252.34,1121911.3,266117.10,1639.4260,608534.3,926569.3,2069310.3,41978.26,1002870.3,1260.19,479430.3,1123388.3,518.42,394503.7,163164.29,1391995.3,1884905.18,1946798.3,376620.10,1491.958,349741.6,374847.13,655811.4,489703.3,190304.8,379066.3,796939.3,1946251.3,2702.133,813.178,1423720.4,2162266.3,1919250.3,1945871.3,415426.13,938289.3,166793.3,1946522.3,926550.5,166.4
ATP synthase alpha chain (EC 3.6.3.14)	ATP synthase epsilon chain (EC 3.6.3.14)	1121447.3,2490941.3,557993.3,2183990.3,980251.5,2200854.3,1970770.3,210.5028,157176.8,309798.4,525904.6,36868.4,1294039.3,1704307.4,2099.43,521095.6,59196.3,795359.3,2024841.10,1206109.5,525909.11,137778.5,754252.34,1121911.3,1241833.3,266117.10,1639.4260,2605989.3,608534.3,28227.8,926569.3,445932.6,479434.6,479430.3,518.42,394503.7,1391995.3,1884905.18,2003555.3,1560006.3,376620.10,583355.3,1491.958,716544.4,2023178.18,349741.6,1647103.3,489703.3,190304.8,379066.3,203907.6,481448.7,2702.133,727.1550,1423720.4,1332188.3,1437881.3,126741.4,166793.3,1548207.7,1946522.3,926550.5,166.4,243273.25,679936.5
LSU ribosomal protein L1p (L10Ae)	tRNA-Gly	2605989.3,557993.3,247481.57,1882918.15,1491.958,980251.5,2597224.3,1408281.4,518.42,428411.4,137778.5,1972134.3,1241833.3
DNA-directed RNA polymerase subunit D (EC 2.7.7.6)	SSU ribosomal protein S9e (S4p)	415426.13,406327.12,64091.14,349307.15,272844.11,374847.13,1577791.3,1435377.6,263820.9,339860.19
Cobalt ECF transporter, ATPase component of energizing module CbiO	Cobalt ECF transporter, substrate-binding protein CbiM	1639.4260,406327.12,64091.14,1521403.3,349307.15,1577791.3,754252.34,1121911.3,339860.19,394503.7
4-hydroxy-tetrahydrodipicolinate reductase (EC 1.17.1.8)	Aspartokinase (EC 2.7.2.4)	813.178,1401685.3,445932.6,572547.3,394503.7,126741.4,379066.3,1749045.3,1560006.3,1577791.3,166.4,1121911.3,1947072.3,339860.19,266117.10
Rossmann fold nucleotide-binding protein Smf possibly involved in DNA uptake	UPF0102 protein YraN	2183990.3,572547.3,309798.4,655811.4,1294039.3,938289.3,521095.6,126741.4,166793.3,2702.133,754252.34,1121911.3,266117.10
Xanthine and CO dehydrogenases maturation factor, XdhC/CoxF family	Xanthine dehydrogenase, molybdenum binding subunit (EC 1.17.1.4)	2490941.3,489703.3,2183990.3,926569.3,1737569.3,980251.5,481448.7,376620.10,655811.4,679936.5
Copper(I) chaperone CopZ	Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5)	1639.4260,2183990.3,1491.958,926569.3,2023178.18,2069310.3,1002870.3,1260.19,1123388.3,454171.5,379066.3,166.4,754252.34,266117.10
Acetolactate synthase small subunit (EC 2.2.1.6)	Dihydroxy-acid dehydratase (EC 4.2.1.9)	1639.4260,2183990.3,926569.3,1002870.3,2597224.3,1408281.4,2067454.3,1294039.3,1647103.3,126741.4,1884905.18,203907.6,1946251.3,525909.11
Flagellar biosynthesis protein FliR	Flagellar motor switch protein FliN	1639.4260,2605989.3,557993.3,2183990.3,2023178.18,2597224.3,157176.8,309798.4,518.42,36868.4,394503.7,1437881.3,1647103.3,489703.3,166793.3,379066.3,796939.3,795359.3,525909.11,166.4
Chaperone protein DnaJ	tRNA t(6)A37-methylthiotransferase (EC 2.8.4.5)	938289.3,521095.6,1491.958,1262806.3,445932.6,572547.3,1002870.3,1260.19,1946283.3,1121911.3,655811.4
Efflux ABC transporter for glutathione/L-cysteine, essential for assembly of bd-type respiratory oxidases => CydD subunit	Efflux ABC transporter for glutathione/L-cysteine, essential for assembly of bd-type respiratory oxidases => CydC subunit	1639.4260,1437881.3,2183990.3,727.1550,1423720.4,926569.3,1737569.3,2069310.3,525909.11,376620.10,518.42,679936.5
Succinate dehydrogenase cytochrome b subunit	Succinate dehydrogenase iron-sulfur protein (EC 1.3.5.1)	2605989.3,583355.3,64091.14,1737569.3,980251.5,2023178.18,349741.6,479430.3,157176.8,1945871.3,2067454.3,1704307.4,1947784.3,166793.3,379066.3,1749045.3,2003555.3,1560006.3,1548207.7,481448.7,926550.5,754252.34
Iron-sulfur cluster assembly protein SufB	Putative iron-sulfur cluster assembly scaffold protein for SUF system, SufE2	1946283.3,436308.17,525904.6,655811.4,1408417.3,521095.6,379066.3,59196.3,796939.3,2702.133,754252.34,266117.10,1639.4260,608534.3,28227.8,926569.3,1260.19,479434.6,479430.3,454171.5,938289.3,126741.4,166793.3,1884905.18,2003555.3,926550.5,679936.5
tRNA-Lys	tRNA-Val	1639.4260,557993.3,1262806.3,1423720.4,28227.8,980251.5,1260.19,2030824.4,1971488.3,1805053.3,166793.3,137778.5,1972134.3,1715285.3,1972133.3,1121911.3,1241833.3
DNA internalization-related competence protein ComEC/Rec2	Late competence protein ComEA, DNA receptor	1639.4260,1262806.3,1423720.4,1737569.3,572547.3,479434.6,479430.3,309798.4,525904.6,1294039.3,521095.6,2702.133,754252.34
Ribonucleotide reductase of class III (anaerobic), activating protein (EC 1.97.1.4)	Ribonucleotide reductase of class III (anaerobic), large subunit (EC 1.17.4.2)	583355.3,1491.958,349741.6,572547.3,1946283.3,374847.13,1408281.4,309798.4,655811.4,1408417.3,1609969.5,521095.6,190304.8,796939.3,1946251.3,481448.7,272844.11,2702.133,1318617.4,1121911.3,1639.4260,444157.8,608534.3,1262806.3,28227.8,2069310.3,41978.26,445932.6,1260.19,1946294.3,1945871.3,1946269.3,394503.7,415426.13,938289.3,126741.4,456827.3,166.4,1715285.3
Cobalt-precorrin-4 C(11)-methyltransferase (EC 2.1.1.271)	Cobalt-precorrin-5B (C1)-methyltransferase (EC 2.1.1.195)	1121447.3,1639.4260,444157.8,1737569.3,479430.3,394503.7,349307.15,525909.11,1435377.6,1121911.3,1947072.3,679936.5,266117.10
3-hydroxyacyl-[acyl-carrier-protein] dehydratase, FabZ form (EC 4.2.1.59)	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase (EC 2.3.1.191)	1121447.3,2490941.3,445932.6,572547.3,1079.16,1919250.3,2597224.3,1408281.4,518.42,2067454.3,36868.4,454171.5,1437881.3,1947784.3,489703.3,1719125.3,1946934.3,379066.3,456827.3,59196.3,203907.6,2024841.10,376620.10,1715285.3
ATP synthase F0 sector subunit a (EC 3.6.3.14)	Uracil phosphoribosyltransferase (EC 2.4.2.9)	1639.4260,521095.6,1491.958,1423720.4,1946251.3,1946798.3,1121911.3,295596.4,679936.5,266117.10
Rod shape-determining protein MreC	Septum site-determining protein MinC	1639.4260,1491.958,926569.3,572547.3,926550.5,1121911.3,1123388.3,309798.4,679936.5,394503.7
SSU rRNA	tRNA-Ala-TGC	1121447.3,406327.12,583355.3,716544.4,349741.6,572547.3,673862.3,157176.8,309798.4,525904.6,1704307.4,190304.8,59196.3,796939.3,1749045.3,795359.3,1306947.3,481448.7,272844.11,1121911.3,339860.19,64091.14,727.1550,926569.3,445932.6,1332188.3,2162266.3,479434.6,394503.7,1437881.3,456827.3,349307.15,37692.4,376620.10
Peptide chain release factor 1	Uracil phosphoribosyltransferase (EC 2.4.2.9)	1639.4260,1491.958,1423720.4,1002870.3,655811.4,394503.7,1408417.3,521095.6,796939.3,1121911.3,295596.4,679936.5,266117.10
Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3)	Phosphoribosylformylglycinamidine synthase, synthetase subunit (EC 6.3.5.3)	1639.4260,608534.3,1423720.4,572547.3,1002870.3,1260.19,1970770.3,309798.4,655811.4,938289.3,126741.4,796939.3,1946251.3,1121911.3,1947072.3,679936.5,266117.10
LSU ribosomal protein L17p	Protein translocase subunit SecY	1121447.3,2490941.3,247481.57,1882918.15,2200854.3,572547.3,1970770.3,2030824.4,525904.6,159.151,1609969.5,525909.11,1306947.3,1241833.3,1639.4260,2605989.3,1262806.3,28227.8,926569.3,1002870.3,1260.19,454171.5,163164.29,1884905.18,2003555.3,1946798.3,37692.4,1491.958,716544.4,2023178.18,2597224.3,673862.3,1408281.4,655811.4,2067454.3,1647103.3,1946934.3,796939.3,203907.6,727.1550,1401685.3,1408467.3,2162266.3,2601646.3,1971488.3,938289.3,1719125.3,1548207.7,926550.5,243273.25,2100.35,557993.3,1737569.3,1521403.3,210.5028,157176.8,309798.4,36868.4,1294039.3,1408417.3,2099.43,521095.6,1805053.3,59196.3,795359.3,2024841.10,1206109.5,1121911.3,266117.10,608534.3,2069310.3,41978.26,479434.6,1123388.3,518.42,1972134.3,376620.10,295320.3,583355.3,1946283.3,489703.3,1749045.3,428411.4,2702.133,1947072.3,813.178,1423720.4,1332188.3,1079.16,1919250.3,1945871.3,1437881.3,126741.4,166793.3,456827.3,166.4,1715285.3,295596.4,679936.5
SSU ribosomal protein S10p (S20e)	Translation elongation factor Tu	2490941.3,557993.3,1882918.15,2183990.3,1737569.3,1521403.3,572547.3,1970770.3,157176.8,309798.4,525904.6,159.151,1432327.4,1609969.5,1805053.3,59196.3,795359.3,2024841.10,1206109.5,525909.11,1306947.3,1121911.3,1241833.3,1961371.3,266117.10,926569.3,445932.6,1002870.3,479434.6,1123388.3,518.42,454171.5,163164.29,1884905.18,2003555.3,1560006.3,376620.10,1491.958,2023178.18,2597224.3,673862.3,1408281.4,1647103.3,489703.3,379066.3,1749045.3,1947072.3,1332188.3,2162266.3,1919250.3,1945871.3,2601646.3,1437881.3,1719125.3,126741.4,166793.3,1946522.3,926550.5,166.4,1715285.3,679936.5
LSU ribosomal protein L36p, zinc-dependent	SSU ribosomal protein S5p (S2e)	557993.3,1882918.15,1737569.3,1521403.3,572547.3,1970770.3,210.5028,309798.4,525904.6,159.151,36868.4,1294039.3,2099.43,521095.6,1805053.3,59196.3,795359.3,1206109.5,525909.11,1121911.3,1241833.3,266117.10,1639.4260,2605989.3,608534.3,1262806.3,28227.8,2069310.3,41978.26,445932.6,1002870.3,1260.19,479434.6,479430.3,1123388.3,518.42,394503.7,454171.5,1884905.18,1560006.3,1946798.3,1972134.3,1491.958,2023178.18,1946283.3,2597224.3,1408281.4,655811.4,796939.3,203907.6,1946251.3,428411.4,2702.133,1318617.4,1947072.3,727.1550,1423720.4,1408467.3,1946294.3,1946269.3,938289.3,126741.4,166793.3,456827.3,926550.5,1715285.3,1972133.3,243273.25,2100.35
Iron-sulfur cluster assembly ATPase protein SufC	Putative iron-sulfur cluster assembly scaffold protein for SUF system, SufE2	1946283.3,525904.6,655811.4,1408417.3,521095.6,379066.3,59196.3,796939.3,525909.11,2702.133,754252.34,266117.10,1639.4260,608534.3,28227.8,926569.3,1260.19,479434.6,479430.3,454171.5,938289.3,126741.4,1391995.3,166793.3,1884905.18,2003555.3,1946522.3,926550.5,679936.5
LSU ribosomal protein L16p (L10e)	Translation elongation factor Tu	2490941.3,557993.3,1882918.15,1737569.3,572547.3,1970770.3,157176.8,309798.4,525904.6,159.151,1432327.4,1609969.5,1805053.3,59196.3,795359.3,1206109.5,525909.11,1306947.3,1121911.3,1241833.3,266117.10,926569.3,1002870.3,479434.6,1123388.3,518.42,454171.5,163164.29,1884905.18,2003555.3,376620.10,1491.958,2023178.18,2597224.3,673862.3,1647103.3,489703.3,379066.3,1749045.3,1947072.3,1919250.3,1945871.3,2601646.3,1437881.3,1719125.3,126741.4,166793.3,926550.5,1715285.3,679936.5
Flagellar biosynthesis protein FlhA	Flagellar motor switch protein FliN	1639.4260,2490941.3,2183990.3,2023178.18,1002870.3,1079.16,2597224.3,2030824.4,157176.8,309798.4,394503.7,166793.3,1946934.3,796939.3,2003555.3,795359.3,1560006.3,1946798.3,2024841.10,525909.11,376620.10,166.4
SSU ribosomal protein S13p (S18e)	Translation initiation factor 1	247481.57,1882918.15,2183990.3,1737569.3,1521403.3,572547.3,1970770.3,210.5028,2030824.4,157176.8,309798.4,525904.6,159.151,1294039.3,1408417.3,1432327.4,1704307.4,1609969.5,2099.43,521095.6,1805053.3,795359.3,525909.11,1306947.3,754252.34,1121911.3,266117.10,1639.4260,608534.3,1262806.3,28227.8,2069310.3,41978.26,445932.6,1002870.3,1260.19,479434.6,479430.3,1123388.3,518.42,394503.7,454171.5,1391995.3,1884905.18,1560006.3,1946798.3,37692.4,1491.958,2023178.18,1946283.3,2597224.3,673862.3,1408281.4,655811.4,2067454.3,190304.8,1946934.3,796939.3,1749045.3,2702.133,1947072.3,1423720.4,1332188.3,1408467.3,1079.16,1919250.3,1946294.3,1945871.3,1946269.3,938289.3,126741.4,456827.3,59620.1701,1946522.3,243273.25,2100.35,679936.5
Flagellar biosynthesis protein FliP	Flagellar motor switch protein FliN	1121447.3,557993.3,2183990.3,2023178.18,2597224.3,2030824.4,157176.8,309798.4,36868.4,1647103.3,489703.3,379066.3,796939.3,795359.3,525909.11,1639.4260,2605989.3,1002870.3,518.42,394503.7,454171.5,1437881.3,166793.3,2003555.3,1946798.3,166.4
LSU ribosomal protein L36p, zinc-dependent	SSU ribosomal protein S8p (S15Ae)	557993.3,1882918.15,1737569.3,1521403.3,2023178.18,1970770.3,210.5028,655811.4,159.151,36868.4,1805053.3,59196.3,203907.6,1206109.5,428411.4,2702.133,1241833.3,1639.4260,2605989.3,727.1550,1262806.3,1423720.4,1260.19,1123388.3,518.42,938289.3,456827.3,1972134.3,1715285.3,1972133.3
DNA topoisomerase I (EC 5.99.1.2)	LSU ribosomal maturation GTPase RbgA (B. subtilis YlqF)	1639.4260,1491.958,1262806.3,1423720.4,572547.3,1946283.3,655811.4,1408417.3,938289.3,37692.4,295320.3,1121911.3,295596.4
ATP phosphoribosyltransferase (EC 2.4.2.17) => HisGs	Imidazole glycerol phosphate synthase cyclase subunit	1639.4260,126741.4,1491.958,166793.3,41978.26,572547.3,1121911.3,1947072.3,263820.9,518.42,679936.5
Crossover junction endodeoxyribonuclease RuvC (EC 3.1.22.4)	Protein translocase subunit SecD	1294039.3,2183990.3,166793.3,1884905.18,2003555.3,2069310.3,1946522.3,1946294.3,479430.3,754252.34,309798.4
Phosphopantothenoylcysteine decarboxylase (EC 4.1.1.36)	UPF0701 protein YicC	1639.4260,2605989.3,1491.958,980251.5,572547.3,1260.19,157176.8,1609969.5,126741.4,1749045.3,1560006.3,428411.4,1121911.3
